True,Diesel Generator 1,Diesel Generator 2,Diesel Generator 3,Diesel Generator 1: At Sea Mechanical Loading,Diesel Generator 1: At Sea Electrical Loading,Diesel Generator 1: Harbor Mechanical Loading,Diesel Generator 1: Harbor Electrical Loading,Diesel Generator 1: Dock Mechanical Loading,Diesel Generator 1: Dock Electrical Loading,Diesel Generator 2: At Sea Mechanical Loading,Diesel Generator 2: At Sea Electrical Loading,Diesel Generator 2: Harbor Mechanical Loading,Diesel Generator 2: Harbor Electrical Loading,Diesel Generator 2: Dock Mechanical Loading,Diesel Generator 2: Dock Electrical Loading,Diesel Generator 3: At Sea Mechanical Loading,Diesel Generator 3: At Sea Electrical Loading,Diesel Generator 3: Harbor Mechanical Loading,Diesel Generator 3: Harbor Electrical Loading,Diesel Generator 3: Dock Mechanical Loading,Diesel Generator 3: Dock Electrical Loading,Iteration Time
0,1500.0000000149012,1000.0,500.0,0.0,-1.029709719807781e-12,0.0,666.6669965566272,0.0,333.3330034433739,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,86.67912316322327
1,1500.0,1000.0000000149012,500.0,0.0,-1.0295488370990883e-12,0.0,666.6669965566272,0.0,333.3330034433739,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,9.6472749710083
2,1500.0,1000.0,500.00000001490116,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.6669278144836426
3,1500.0,999.9999894797802,500.00000319443643,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.59206223487854
4,1500.0000000149012,999.9999894797802,500.00000319443643,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.537275552749634
5,1500.0,999.9999894946814,500.00000319443643,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.531226873397827
6,1500.0,999.9999894797802,500.0000032093376,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.664914131164551
7,1500.0,999.9999369157205,500.0000192132496,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5591697692871094
8,1500.0000000149012,999.9999369157205,500.0000192132496,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.55020809173584
9,1500.0,999.9999369306216,500.0000192132496,0.0,-5.9278620265293036e-21,0.0,666.6669965566266,0.0,333.3330034433734,0.0,-7.476680641646045e-15,0.0,38.78523089263489,0.0,461.21476910736516,0.0,-8.73591514823914e-14,0.0,-1.032704744049535e-13,0.0,100.00000000000018,2.5571863651275635
