Engine,L1,L2,L3,L4,nmin,nmax,Zmin,Zmax,Stroke,Bore,SFOC NMCR,SGC NMCR,SPOC NMCR,SFOC-GI NMCR
G95ME-C10.5,6870,5170,6010,4520,70,80,5,12,3.46,0.95,162,133.7,2.4,165
G90ME-C10.5,6240,4670,5350,4010,72,84,5,12,3.26,0.9,165,136.2,2.5,168
S90ME-C10.5,6100,4880,5230,4180,72,84,5,12,3.26,0.9,166,138.8,2.5,165
G80ME-C10.5,4710,3550,3800,2860,58,72,6,9,3.72,0.8,164,135.4,2.5,167
S80ME-C9.5,4510,3610,4160,3330,72,78,6,9,3.45,0.8,166,138.8,2.5,166
G70ME-C10.5,3060,2540,2620,2180,66,77,5,6,3.256,0.7,163,135.9,0.8,166
G70ME-C9.5,3640,2740,2720,2050,62,83,5,8,3.256,0.7,167,141,0.8,167
S70ME-C10.5,3430,2580,2750,2070,73,91,5,8,2.8,0.7,166,138.8,2.5,166
S65ME-C8.6,2730,2150,2150,1700,75,95,5,8,2.73,0.65,165.5,138.4,2.5,165.5
G60ME-C10.5,2840,2140,1990,1500,72,103,5,8,2.79,0.6,165,137.9,2.5,165
S60ME-C10.5,2490,1880,2000,1500,84,105,5,8,2.4,0.6,166,138.8,2.5,166
G50ME-C9.6,1720,1290,1360,1020,79,100,5,9,2.5,0.5,167,139.6,2.5,167
S50ME-C9.7,1780,1340,1290,970,85,117,5,9,2.214,0.5,165,137.9,2.5,165
S50ME-C8.5,1660,1330,1340,1070,102,127,5,9,2,0.5,170,142.1,2.6,170
S46ME-C8.6,1390,1115,1125,900,105,130,5,8,1.932,0.46,167,139.6,2.5,167
G45ME-C9.5,1390,1045,1090,820,87,111,5,8,2.25,0.45,170,142.1,2.6,170
S40ME-C9.5,1135,910,865,690,111,146,5,9,1.77,0.4,174,145.5,2.6,174
S35ME-C9.7,870,695,615,495,118,167,5,8,1.55,0.35,171,143,2.4,171
