True,Diesel Generator 1,Diesel Generator 2,Diesel Generator 3,Diesel Generator 1: At Sea Mechanical Loading,Diesel Generator 1: At Sea Electrical Loading,Diesel Generator 2: At Sea Mechanical Loading,Diesel Generator 2: At Sea Electrical Loading,Diesel Generator 3: At Sea Mechanical Loading,Diesel Generator 3: At Sea Electrical Loading,Diesel Generator 1: Harbor Mechanical Loading,Diesel Generator 1: Harbor Electrical Loading,Diesel Generator 2: Harbor Mechanical Loading,Diesel Generator 2: Harbor Electrical Loading,Diesel Generator 3: Harbor Mechanical Loading,Diesel Generator 3: Harbor Electrical Loading,Diesel Generator 1: Dock Mechanical Loading,Diesel Generator 1: Dock Electrical Loading,Diesel Generator 2: Dock Mechanical Loading,Diesel Generator 2: Dock Electrical Loading,Diesel Generator 3: Dock Mechanical Loading,Diesel Generator 3: Dock Electrical Loading,At Sea Fuel Burn Rate,Harbor Fuel Burn Rate,Dock Fuel Burn Rate,Iteration Time
0,1500.0000000149012,1000.0,500.0,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,-6.167506307015824e-21,0.0,24.999999999999993,0.0,475.0,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.16852665591458704,0.017711916991358927,0.002880772270231191,74.46813917160034
1,1500.0,1000.0000000149012,500.0,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,-6.167506307015824e-21,0.0,24.999999999999993,0.0,475.0,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.1685266559147396,0.017711916991360543,0.002880772270231191,2.4894134998321533
2,1500.0,1000.0,500.00000001490116,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,-6.167506307015824e-21,0.0,24.999999999999993,0.0,475.0,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.16852665591476843,0.017711916991054406,0.002880772270256245,2.4664108753204346
3,1500.0,999.9999896548688,500.0000065844506,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,-6.167506307015824e-21,0.0,24.999999999999993,0.0,475.0,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.16852665588891386,0.017711916837263635,0.002880772281302295,2.4864187240600586
4,1500.0000000149012,999.9999896548688,500.0000065844506,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,1.4860985914298487e-20,0.0,24.99999374477197,0.0,475.000006255228,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.16852665588891386,0.017711916837263635,0.002880772281302295,3.375025749206543
5,1500.0,999.99998966977,500.0000065844506,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,1.4860985914298487e-20,0.0,24.99999374477197,0.0,475.000006255228,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.1685266558890664,0.017711916837265255,0.002880772281302295,2.492372989654541
6,1500.0,999.9999896548688,500.00000659935176,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,1.4860985914298487e-20,0.0,24.99999374477197,0.0,475.000006255228,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.16852665588909527,0.017711916836959118,0.0028807722813273505,2.4893815517425537
7,1500.0,999.9999379291994,500.0000394880858,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,1.4860985914298487e-20,0.0,24.99999374477197,0.0,475.000006255228,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.1685266557603215,0.01771191606721957,0.0028807723366265133,3.0040135383605957
8,1500.0000000149012,999.9999379291994,500.0000394880858,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,4.565198705186429e-21,0.0,24.99996248631852,0.0,475.0000375136815,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.1685266557603215,0.01771191606721957,0.0028807723366265133,5.018656492233276
9,1500.0,999.9999379441006,500.0000394880858,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,4.565198705186429e-21,0.0,24.99996248631852,0.0,475.0000375136815,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.16852665576047407,0.017711916067221188,0.0028807723366265133,2.8493924140930176
10,1500.0,999.9999379291994,500.00003950298697,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,4.565198705186429e-21,0.0,24.99996248631852,0.0,475.0000375136815,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.16852665576050285,0.017711916066915055,0.002880772336651569,3.0518856048583984
11,1500.0,999.9996792123127,500.0002040600482,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,4.565198705186429e-21,0.0,24.99996248631852,0.0,475.0000375136815,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.1685266551171195,0.017711912215735637,0.002880772613338004,3.018000602722168
12,1500.0000000149012,999.9996792123127,500.0002040600482,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,1.1411686372242296e-20,0.0,24.999806142954235,0.0,475.00019385704576,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.1685266551171195,0.017711912215735637,0.002880772613338004,6.3201704025268555
13,1500.0,999.9996792272138,500.0002040600482,0.0,3.2284725086895026e-10,0.0,814.4250191728153,0.0,185.5749808268619,0.0,1.1411686372242296e-20,0.0,24.999806142954235,0.0,475.00019385704576,0.0,-1.7972529782842544e-13,0.0,1.7974146827740607e-13,0.0,100.0,0.16852665511727186,0.017711912215737254,0.002880772613338004,3.2803070545196533
