True,Diesel Generator 1,Diesel Generator 2,Diesel Generator 3,Diesel Generator 1: At Sea Mechanical Loading,Diesel Generator 1: At Sea Electrical Loading,Diesel Generator 2: At Sea Mechanical Loading,Diesel Generator 2: At Sea Electrical Loading,Diesel Generator 3: At Sea Mechanical Loading,Diesel Generator 3: At Sea Electrical Loading,Diesel Generator 1: Harbor Mechanical Loading,Diesel Generator 1: Harbor Electrical Loading,Diesel Generator 2: Harbor Mechanical Loading,Diesel Generator 2: Harbor Electrical Loading,Diesel Generator 3: Harbor Mechanical Loading,Diesel Generator 3: Harbor Electrical Loading,Diesel Generator 1: Dock Mechanical Loading,Diesel Generator 1: Dock Electrical Loading,Diesel Generator 2: Dock Mechanical Loading,Diesel Generator 2: Dock Electrical Loading,Diesel Generator 3: Dock Mechanical Loading,Diesel Generator 3: Dock Electrical Loading,At Sea Fuel Burn Rate,Harbor Fuel Burn Rate,Dock Fuel Burn Rate,Iteration Time
0,2000.00000001,1000.0,1.0,0.0,77.56790278179433,0.0,922.4320972182056,0.0,5.893485165910835e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.1795156483242331,0.017416428456280848,0.0032929287232687505,80.45297288894653
1,2000.0,1000.00000001,1.0,0.0,77.56790278179433,0.0,922.4320972182056,0.0,5.893485165910835e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17951564832348715,0.01741642845632861,0.003292928723272331,2.6998085975646973
2,2000.0,1000.0,1.00000001,0.0,77.56790278179433,0.0,922.4320972182056,0.0,5.893485165910835e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17951564832422867,0.017416428456280848,0.0032929287232687505,3.0548102855682373
3,1999.9935655700594,1000.9999792988414,1.0,0.0,77.56790278179433,0.0,922.4320972182056,0.0,5.893485165910835e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17944174246562744,0.017421205388530054,0.0032932863852460584,3.300178289413452
4,1999.9935655800593,1000.9999792988414,1.0,0.0,77.56790278179433,0.0,922.4320972182056,0.0,5.893485165910835e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17944174246563188,0.017421205388530054,0.0032932863852460584,2.9281716346740723
5,1999.9935655700594,1000.9999793088414,1.0,0.0,77.56790278179433,0.0,922.4320972182056,0.0,5.893485165910835e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.1794417424648908,0.017421205388577832,0.003293286385249631,3.1356546878814697
6,1999.9935655700594,1000.9999792988414,1.00000001,0.0,77.56790278179433,0.0,922.4320972182056,0.0,5.893485165910835e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17944174246562744,0.017421205388530054,0.0032932863852460584,2.9720187187194824
7,1999.9678278502972,1004.999896494207,1.0,0.0,77.56790278179433,0.0,922.4320972182056,0.0,5.893485165910835e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17913875713404548,0.017440324978389727,0.003294710485902517,2.929202079772949
8,1999.9678278602971,1004.999896494207,1.0,0.0,68.29917914731121,0.0,931.7008208526888,0.0,5.80601864917462e-20,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17913875713404895,0.017440324978389727,0.003294710485902517,13.544756412506104
9,1999.9678278502972,1004.999896504207,1.0,0.0,68.29917914731121,0.0,931.7008208526888,0.0,5.80601864917462e-20,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17913875713327929,0.017440324978437546,0.0032947104859060647,2.7516446113586426
10,1999.9678278502972,1004.999896494207,1.00000001,0.0,68.29917914731121,0.0,931.7008208526888,0.0,5.80601864917462e-20,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17913875713404548,0.017440324978389727,0.003294710485902517,2.6928019523620605
11,1999.8648769712486,1020.9995652756694,1.0,0.0,68.29917914731121,0.0,931.7008208526888,0.0,5.80601864917462e-20,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17784707976496167,0.017516954573590295,0.0033003041023509077,2.8504140377044678
12,1999.8648769812485,1020.9995652756694,1.0,0.0,37.99763088474109,0.0,962.0023691152588,0.0,7.602717578152758e-21,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17784707976496275,0.017516954573590295,0.0033003041023509077,14.989925622940063
13,1999.8648769712486,1020.9995652856694,1.0,0.0,37.99763088474109,0.0,962.0023691152588,0.0,7.602717578152758e-21,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17784707976411204,0.017516954573638246,0.003300304102354353,2.6788060665130615
14,1999.8648769712486,1020.9995652756694,1.00000001,0.0,37.99763088474109,0.0,962.0023691152588,0.0,7.602717578152758e-21,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17784707976496167,0.017516954573590295,0.0033003041023509077,2.695821523666382
15,1999.4530734550538,1084.998240401519,1.0,0.0,37.99763088474109,0.0,962.0023691152588,0.0,7.602717578152758e-21,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17232600289675987,0.017823782918076875,0.0033211510559094416,2.693802833557129
16,1999.4530734650536,1084.998240401519,1.0,0.0,1.308945424380488e-16,0.0,1000.0,0.0,-1.7434235788757842e-16,0.0,2.1616280813929745e-18,0.0,500.0,0.0,2.371692252312041e-20,0.0,4.6793607252124776e-21,0.0,100.0,0.0,-1.5789876229614285e-21,0.17232600289675987,0.017823782918076875,0.0033211510559094416,15.282113552093506
