True,Diesel Generator 1,Diesel Generator 2,Diesel Generator 3,Diesel Generator 1: At Sea Mechanical Loading,Diesel Generator 1: At Sea Electrical Loading,Diesel Generator 2: At Sea Mechanical Loading,Diesel Generator 2: At Sea Electrical Loading,Diesel Generator 3: At Sea Mechanical Loading,Diesel Generator 3: At Sea Electrical Loading,Diesel Generator 1: Harbor Mechanical Loading,Diesel Generator 1: Harbor Electrical Loading,Diesel Generator 2: Harbor Mechanical Loading,Diesel Generator 2: Harbor Electrical Loading,Diesel Generator 3: Harbor Mechanical Loading,Diesel Generator 3: Harbor Electrical Loading,Diesel Generator 1: Dock Mechanical Loading,Diesel Generator 1: Dock Electrical Loading,Diesel Generator 2: Dock Mechanical Loading,Diesel Generator 2: Dock Electrical Loading,Diesel Generator 3: Dock Mechanical Loading,Diesel Generator 3: Dock Electrical Loading,At Sea Fuel Burn Rate,Harbor Fuel Burn Rate,Dock Fuel Burn Rate,Iteration Time
0,1000.00000001,1000.0,1000.0,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19609156618314594,0.02300306893472827,0.003544406850536562,5.0365307331085205
1,1000.0,1000.00000001,1000.0,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19609156618314594,0.02300306893472827,0.003544406850536562,2.601045846939087
2,1000.0,1000.0,1000.00000001,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19609156618314594,0.02300306893472827,0.003544406850536562,2.622990131378174
3,999.4226497308103,999.4226497308103,999.4226497308103,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.1960593010833753,0.02300076157468609,0.0035443305133609597,2.6289687156677246
4,999.4226497408104,999.4226497308103,999.4226497308103,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19605930108356165,0.023000761574699418,0.003544330513361401,2.5930349826812744
5,999.4226497308103,999.4226497408104,999.4226497308103,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19605930108356165,0.023000761574699415,0.003544330513361401,2.6180267333984375
6,999.4226497308103,999.4226497308103,999.4226497408104,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19605930108356165,0.023000761574699418,0.003544330513361401,2.8712961673736572
7,997.1132486540519,997.1132486540519,997.1132486540519,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19593002822077774,0.0229915094438282,0.0035440243021332184,2.803506851196289
8,997.1132486640519,997.1132486540519,997.1132486540519,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19593002822096459,0.02299150944384158,0.003544024302133661,2.589076042175293
9,997.1132486540519,997.1132486640519,997.1132486540519,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19593002822096459,0.02299150944384158,0.003544024302133661,2.6060328483581543
10,997.1132486540519,997.1132486540519,997.1132486640519,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19593002822096456,0.02299150944384158,0.0035440243021336616,2.5821280479431152
11,987.8756443470179,987.8756443470179,987.8756443470179,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19540952756740657,0.02295413421139624,0.0035427854916734143,2.6449501514434814
12,987.8756443570179,987.8756443470179,987.8756443470179,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19540952756759541,0.02295413421140983,0.0035427854916738654,2.6368980407714844
13,987.8756443470179,987.8756443570179,987.8756443470179,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19540952756759541,0.02295413421140983,0.0035427854916738654,2.678861618041992
14,987.8756443470179,987.8756443470179,987.8756443570179,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19540952756759541,0.02295413421140983,0.0035427854916738654,2.5950679779052734
15,950.9252271188818,950.9252271188818,950.9252271188818,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19327242944921838,0.02279852254331539,0.003537595702931601,2.641939640045166
16,950.9252271288818,950.9252271188818,950.9252271188818,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19327242944941522,0.022798522543329886,0.003537595702932087,2.56311297416687
17,950.9252271188818,950.9252271288818,950.9252271188818,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19327242944941522,0.022798522543329886,0.003537595702932087,2.631974697113037
18,950.9252271188818,950.9252271188818,950.9252271288818,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.19327242944941522,0.022798522543329886,0.003537595702932087,2.5880677700042725
19,803.1235582063376,803.1235582063376,803.1235582063376,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.18384021535454212,0.02205995371786457,0.003512205427677616,2.6180317401885986
20,803.1235582163376,803.1235582063376,803.1235582063376,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.18384021535476996,0.02205995371788369,0.0035122054276782904,2.59702730178833
21,803.1235582063376,803.1235582163376,803.1235582063376,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.18384021535476996,0.02205995371788369,0.0035122054276782904,2.577139139175415
22,803.1235582063376,803.1235582063376,803.1235582163376,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.18384021535476996,0.02205995371788369,0.0035122054276782904,2.588080883026123
23,211.91688255616066,211.91688255616066,211.91688255616066,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.3205743006459811,0.016454192923183508,0.0030972792185553905,2.5591273307800293
24,211.91688256616067,211.91688255616066,211.91688255616066,0.0,333.33333333333337,0.0,333.3333333333334,0.0,333.3333333333334,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.3205743006368651,0.01645419292314844,0.00309727921856343,27.359880208969116
25,211.91688255616066,211.91688256616067,211.91688255616066,0.0,333.3333333333321,0.0,333.33333333333314,0.0,333.33333333333496,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.3205743006368652,0.016454192923148436,0.003097279218563431,35.740413188934326
26,211.91688255616066,211.91688255616066,211.91688256616067,0.0,333.3333333333321,0.0,333.33333333333314,0.0,333.33333333333496,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.32057430063686504,0.01645419292314844,0.003097279218563431,2.592094898223877
27,589.5163528792098,589.5163528792098,589.5163528792098,0.0,333.33333333333223,0.0,333.3333333333329,0.0,333.333333333335,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16883914979379594,0.020512864527321026,0.003453946283129654,31.799952507019043
28,589.5163528892098,589.5163528792098,589.5163528792098,0.0,333.33333333333223,0.0,333.3333333333329,0.0,333.333333333335,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16883914979401088,0.020512864527351318,0.0034539462831308793,2.6439642906188965
29,589.5163528792098,589.5163528892098,589.5163528792098,0.0,333.33333333333223,0.0,333.3333333333329,0.0,333.333333333335,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16883914979401088,0.02051286452735131,0.0034539462831308793,2.5651347637176514
30,589.5163528792098,589.5163528792098,589.5163528892098,0.0,333.33333333333223,0.0,333.3333333333329,0.0,333.333333333335,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16883914979401088,0.020512864527351314,0.0034539462831308793,2.596066951751709
31,340.30070246599735,340.30070246599735,340.30070246599735,0.0,333.33333333333223,0.0,333.3333333333329,0.0,333.333333333335,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.1780732005996235,0.017516487241608626,0.0033002705192225774,2.5810651779174805
32,340.30070247599735,340.30070246599735,340.30070246599735,0.0,333.33333333333223,0.0,333.3333333333329,0.0,333.333333333335,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.17807320059855053,0.017516487241656577,0.003300270519226023,2.602043628692627
33,340.30070246599735,340.30070247599735,340.30070246599735,0.0,333.33333333333223,0.0,333.3333333333329,0.0,333.333333333335,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.17807320059855047,0.017516487241656577,0.003300270519226023,3.168553352355957
34,340.30070246599735,340.30070246599735,340.30070247599735,0.0,333.33333333333087,0.0,333.33333333330404,0.0,333.33333333336503,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.17807320059855045,0.017516487241656577,0.003300270519226023,49.30019021034241
35,473.82455545522146,473.82455545522146,473.82455545522146,0.0,333.3333333333619,0.0,333.3333333332616,0.0,333.3333333333764,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16367821151968587,0.019307865869188107,0.003401611348364993,58.93073558807373
36,473.82455546522147,473.82455545522146,473.82455545522146,0.0,333.3333333333619,0.0,333.3333333332616,0.0,333.3333333333764,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16367821151972317,0.01930786586922761,0.003401611348366848,2.978048324584961
37,473.82455545522146,473.82455546522147,473.82455545522146,0.0,333.3333333333619,0.0,333.3333333332616,0.0,333.3333333333764,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16367821151972317,0.01930786586922761,0.003401611348366848,2.6709258556365967
38,473.82455545522146,473.82455545522146,473.82455546522147,0.0,333.3333333333619,0.0,333.3333333332616,0.0,333.3333333333764,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16367821151972317,0.01930786586922761,0.003401611348366848,2.6150166988372803
39,132.5931573225206,132.5931573225206,132.5931573225206,0.0,333.3333333333619,0.0,333.3333333332616,0.0,333.3333333333764,0.0,166.66666666666669,0.0,166.66666666666666,0.0,166.66666666666669,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.8587391731899479,0.022574506552578606,0.0028170117420527898,2.618058681488037
40,132.5931573325206,132.5931573225206,132.5931573225206,0.0,333.3333333333619,0.0,333.3333333332616,0.0,333.3333333333764,0.0,166.6666666666666,0.0,166.6666666666667,0.0,166.66666666666666,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.8587391731409447,0.02257450655184609,0.002817011742069898,18.783044576644897
41,132.5931573225206,132.5931573325206,132.5931573225206,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.6666666666669,0.0,166.66666666666714,0.0,166.66666666666592,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.8587391731409447,0.02257450655184609,0.002817011742069898,110.0761775970459
42,132.5931573225206,132.5931573225206,132.5931573325206,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666677,0.0,166.66666666666717,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.8587391731409447,0.022574506551846087,0.0028170117420698985,64.15136528015137
43,380.65654721399477,380.65654721399477,380.65654721399477,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16879160751159422,0.018093773255137974,0.0033378806138325504,61.67495274543762
44,380.6565472239948,380.65654721399477,380.65654721399477,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.168791607511081,0.018093773255184905,0.0033378806138353507,2.7317333221435547
45,380.65654721399477,380.6565472239948,380.65654721399477,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.168791607511081,0.018093773255184905,0.0033378806138353507,2.582162618637085
46,380.65654721399477,380.65654721399477,380.6565472239948,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.168791607511081,0.018093773255184905,0.0033378806138353507,2.637976884841919
47,453.05545156892816,453.05545156892816,453.05545156892816,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16366019611776814,0.019056075288796968,0.0033895446169349298,2.7227320671081543
48,453.05545157892817,453.05545156892816,453.05545156892816,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16366019611773341,0.01905607528883829,0.0033895446169369503,2.5831308364868164
49,453.05545156892816,453.05545157892817,453.05545156892816,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16366019611773341,0.01905607528883829,0.0033895446169369503,2.614051342010498
50,453.05545156892816,453.05545156892816,453.05545157892817,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16366019611773341,0.019056075288838285,0.0033895446169369503,2.5721120834350586
51,450.50457113915365,450.50457113915365,450.50457113915365,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.1636906701795401,0.019024369355943968,0.003387990226492096,2.6090404987335205
52,450.50457114915366,450.50457113915365,450.50457113915365,0.0,333.33333333302016,0.0,333.3333333337275,0.0,333.333333333252,0.0,166.66666666666688,0.0,166.66666666666703,0.0,166.66666666666603,0.0,33.33333333333331,0.0,33.333333333333336,0.0,33.33333333333334,0.16369067017949512,0.019024369355985508,0.003387990226494138,2.56815767288208
